archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Grixis Oculus,0.33333333333333,6,0.04,0.78,/Standard/grixis-oculus
Selesnya Kona,0.16666666666667,6,0.0,0.64,/Standard/selesnya-kona
Dimir Conqueror,0.33333333333333,6,0.04,0.78,/Standard/dimir-conqueror
Esper Aggro,0.33333333333333,6,0.04,0.78,/Standard/esper-aggro
Jund Midrange,0.6,5,0.15,0.95,/Standard/jund-midrange
Azorius Tempo,0.2,5,0.01,0.72,/Standard/azorius-tempo
Mono Black Aggro,0.4,5,0.05,0.85,/Standard/mono-black-aggro
Azorius Enchantments,0.2,5,0.01,0.72,/Standard/azorius-enchantments
Golgari Chocobo,0.2,5,0.01,0.72,/Standard/golgari-chocobo
Esper Blink,0.2,5,0.01,0.72,/Standard/esper-blink
Sultai Landfall,0.4,5,0.05,0.85,/Standard/sultai-landfall
Orzhov Artifacts,0.4,5,0.05,0.85,/Standard/orzhov-artifacts
Abzan Counters,0.25,4,0.01,0.81,/Standard/abzan-counters
Mono Black Discard,0.25,4,0.01,0.81,/Standard/mono-black-discard
Sultai Ramp,0.33333333333333,3,0.01,0.91,/Standard/sultai-ramp
Mono White Ugin,0.33333333333333,3,0.01,0.91,/Standard/mono-white-ugin
Izzet Artifacts,0.33333333333333,3,0.01,0.91,/Standard/izzet-artifacts
